episode,total_reward,best_reward,average_reward,episode_length,total_steps,epsilon,average_loss,learning_rate,gamma,timestamp
0,11.9,11.9,11.9,67,67,0.9993,0.0,0.0001,0.99,2025-09-14 22:14:15
1,-3.3,11.9,4.3,335,402,0.996,0.0,0.0001,0.99,2025-09-14 22:14:16
2,15.05,15.05,7.883,2005,2407,0.9764,0.0,0.0001,0.99,2025-09-14 22:14:28
3,5.0,15.05,7.162,104,2511,0.9754,0.0,0.0001,0.99,2025-09-14 22:14:28
4,8.75,15.05,7.48,2005,4516,0.9563,0.0,0.0001,0.99,2025-09-14 22:14:42
5,24.15,24.15,10.258,2020,6536,0.9374,0.0,0.0001,0.99,2025-09-14 22:14:59
6,10.15,24.15,10.243,2005,8541,0.9189,0.0,0.0001,0.99,2025-09-14 22:15:15
7,25.375,25.375,12.134,2020,10561,0.9008,0.0064,0.0001,0.99,2025-09-14 22:15:44
8,22.7,25.375,13.308,2005,12566,0.8831,0.0036,0.0001,0.99,2025-09-14 22:16:35
9,42.5,42.5,16.227,2034,14600,0.8655,0.0034,0.0001,0.99,2025-09-14 22:17:24
10,55.25,55.25,19.775,855,15455,0.8582,0.0035,0.0001,0.99,2025-09-14 22:17:45
11,77.725,77.725,24.604,1425,16880,0.8462,0.0033,0.0001,0.99,2025-09-14 22:18:20
12,23.55,77.725,24.523,2020,18900,0.8295,0.0034,0.0001,0.99,2025-09-14 22:19:11
13,21.65,77.725,24.318,2005,20905,0.8132,0.0042,0.0001,0.99,2025-09-14 22:20:03
14,55.55,77.725,26.4,184,21089,0.8118,0.0048,0.0001,0.99,2025-09-14 22:20:08
15,71.7,77.725,29.231,1631,22720,0.7988,0.0053,0.0001,0.99,2025-09-14 22:20:48
16,52.6,77.725,30.606,264,22984,0.7967,0.0048,0.0001,0.99,2025-09-14 22:20:54
17,56.8,77.725,32.061,898,23882,0.7897,0.006,0.0001,0.99,2025-09-14 22:21:16
18,25.1,77.725,31.695,2020,25902,0.7741,0.0073,0.0001,0.99,2025-09-14 22:22:05
19,52.0,77.725,32.71,219,26121,0.7724,0.0074,0.0001,0.99,2025-09-14 22:22:11
20,14.7,77.725,31.852,54,26175,0.772,0.0065,0.0001,0.99,2025-09-14 22:22:12
