episode,total_reward,best_average,best_reward,epsilon,average_loss
0,18.35,18.35,18.35,1.0,0.0234
10,42.92,13.39,42.92,0.9999,0.0156
20,35.67,15.67,42.92,0.9998,0.0123
30,28.45,16.23,42.92,0.9997,0.0098
40,51.23,18.45,51.23,0.9996,0.0087
50,38.92,19.12,51.23,0.9995,0.0076
60,45.67,20.34,51.23,0.9994,0.0065
70,33.21,19.87,51.23,0.9993,0.0054
80,47.89,21.45,51.23,0.9992,0.0043
90,29.34,20.12,51.23,0.9991,0.0032
100,52.67,22.34,52.67,0.9990,0.0021
2,8.7,21.95,21.95,0.9611,nan
26,22.4,27.267,94.95,0.7671,0.31
27,24.85,27.267,94.95,0.752,0.3151
28,53.4,27.577,94.95,0.7371,0.4227
29,15.2,27.577,94.95,0.7344,0.1353
0,32.9,32.9,32.9,1.0,nan
1,11.7,32.9,32.9,0.9803,nan
2,17.5,32.9,32.9,0.9793,nan
30,52.9,27.994,94.95,0.7339,0.4939
31,54.2,28.813,94.95,0.7246,0.2903
3,2.1,32.9,32.9,0.9788,nan
4,19.65,32.9,32.9,0.9595,nan
5,7.9,32.9,32.9,0.9429,nan
6,24.175,32.9,32.9,0.9419,nan
32,69.8,30.055,94.95,0.7232,0.6559
7,13.2,32.9,32.9,0.9233,0.0829
8,90.05,32.9,90.05,0.905,0.101
33,19.05,30.055,94.95,0.7091,0.5323
34,11.7,30.055,94.95,0.6952,0.4928
35,44.45,30.055,94.95,0.6929,0.7186
9,39.35,32.9,90.05,0.8988,0.0935
10,-0.6,32.9,90.05,0.8812,0.1201
11,9.1,32.9,90.05,0.8799,0.0701
12,9.9,32.9,90.05,0.879,0.1143
13,14.4,32.9,90.05,0.8778,0.1231
14,17.0,32.9,90.05,0.8768,0.2056
36,32.4,30.055,94.95,0.6875,0.4905
37,16.1,30.055,94.95,0.674,0.9027
15,22.85,32.9,90.05,0.8761,0.1501
38,84.1,30.76,94.95,0.673,0.5407
39,62.7,31.558,94.95,0.6665,0.7411
16,33.4,32.9,90.05,0.8589,0.1314
40,83.4,32.823,94.95,0.6621,1.0135
41,43.5,33.077,94.95,0.6549,0.8983
17,22.1,32.9,90.05,0.8419,0.1141
42,85.15,34.288,94.95,0.6455,0.6977
43,54.3,34.743,94.95,0.6393,0.8187
18,22.95,32.9,90.05,0.8253,0.1737
19,13.5,32.9,90.05,0.8092,0.3556
